original	language_count	multilingual	languages	language_primary	Count
fin	1	FALSE	Finnish	Finnish	32707
swe	1	FALSE	Swedish	Swedish	23476
lat	1	FALSE	Latin	Latin	 6587
ger	1	FALSE	German	German	 1898
fin;swe	2	TRUE	Finnish;Swedish	Finnish	 1397
rus	1	FALSE	Russian	Russian	  748
fre	1	FALSE	French	French	  646
lat;swe	2	TRUE	Latin;Swedish	Latin	  610
NA	0	FALSE	Undetermined	Undetermined	  579
eng	1	FALSE	English	English	  345
lat;grc	2	TRUE	Latin;Greek, Ancient (to 1453)	Latin	  272
swe;lat	2	TRUE	Swedish;Latin	Swedish	  205
swe;fin	2	TRUE	Swedish;Finnish	Swedish	  198
fin;ger	2	TRUE	Finnish;German	Finnish	  135
u	0	FALSE	Undetermined	Undetermined	  130
dan	1	FALSE	Danish	Danish	  125
lat;fre	2	TRUE	Latin;French	Latin	  105
fin;rus	2	TRUE	Finnish;Russian	Finnish	  101
fin;eng	2	TRUE	Finnish;English	Finnish	   82
lat;grc;swe	3	TRUE	Latin;Greek, Ancient (to 1453);Swedish	Latin	   64
fin;fre	2	TRUE	Finnish;French	Finnish	   63
fin;lat	2	TRUE	Finnish;Latin	Finnish	   63
swe;fre	2	TRUE	Swedish;French	Swedish	   61
swe;rus	2	TRUE	Swedish;Russian	Swedish	   55
swe;ger	2	TRUE	Swedish;German	Swedish	   49
fin;swe;rus	3	TRUE	Finnish;Swedish;Russian	Finnish	   47
lat;ger	2	TRUE	Latin;German	Latin	   46
nor	1	FALSE	Norwegian	Norwegian	   40
ita	1	FALSE	Italian	Italian	   39
lat;swe;grc	3	TRUE	Latin;Swedish;Greek, Ancient (to 1453)	Latin	   38
est	1	FALSE	Estonian	Estonian	   37
mul	1	FALSE	Multiple languages	Multiple languages	   36
afa	1	FALSE	Afroasiatic (Other)	Afroasiatic (Other)	   32
lat;fin	2	TRUE	Latin;Finnish	Latin	   30
hun	1	FALSE	Hungarian	Hungarian	   28
fin;ger;fre	3	TRUE	Finnish;German;French	Finnish	   26
dut	1	FALSE	Dutch	Dutch	   26
lat;swe;fin	3	TRUE	Latin;Swedish;Finnish	Latin	   26
lat;fre;swe	3	TRUE	Latin;French;Swedish	Latin	   25
lat;swe;fre	3	TRUE	Latin;Swedish;French	Latin	   25
und	0	FALSE	Undetermined	Undetermined	   23
swe;eng	2	TRUE	Swedish;English	Swedish	   22
lat;heb	2	TRUE	Latin;Hebrew	Latin	   22
pol	1	FALSE	Polish	Polish	   18
rus;fin	2	TRUE	Russian;Finnish	Russian	   17
fin;swe;ger	3	TRUE	Finnish;Swedish;German	Finnish	   16
fin;swe;ger;rus	4	TRUE	Finnish;Swedish;German;Russian	Finnish	   16
rus;swe	2	TRUE	Russian;Swedish	Russian	   15
ger;fin	2	TRUE	German;Finnish	German	   15
fin;swe;eng	3	TRUE	Finnish;Swedish;English	Finnish	   14
fiu	1	FALSE	Finno-Ugrian (Other)	Finno-Ugrian (Other)	   14
fin;swe;fre	3	TRUE	Finnish;Swedish;French	Finnish	   14
grc	1	FALSE	Greek, Ancient (to 1453)	Greek, Ancient (to 1453)	   14
ice	1	FALSE	Icelandic	Icelandic	   13
spa	1	FALSE	Spanish	Spanish	   13
fin;swe;ger;fre	4	TRUE	Finnish;Swedish;German;French	Finnish	   12
grc;lat	2	TRUE	Greek, Ancient (to 1453);Latin	Greek, Ancient (to 1453)	   12
ger;lat	2	TRUE	German;Latin	German	   12
eng;rus	2	TRUE	English;Russian	English	   11
fin;swe;lat	3	TRUE	Finnish;Swedish;Latin	Finnish	   11
epo	1	FALSE	Esperanto	Esperanto	    9
lat;eng	2	TRUE	Latin;English	Latin	    9
fin;swe;eng;ger	4	TRUE	Finnish;Swedish;English;German	Finnish	    8
ger;fre	2	TRUE	German;French	German	    8
smi	1	FALSE	Sami	Sami	    8
lat;swe;ger	3	TRUE	Latin;Swedish;German	Latin	    8
swe;fin;rus	3	TRUE	Swedish;Finnish;Russian	Swedish	    7
fin;epo	2	TRUE	Finnish;Esperanto	Finnish	    7
lat;heb;swe	3	TRUE	Latin;Hebrew;Swedish	Latin	    7
lat;ger;swe	3	TRUE	Latin;German;Swedish	Latin	    7
rus;fre	2	TRUE	Russian;French	Russian	    6
fiu;rus	2	TRUE	Finno-Ugrian (Other);Russian	Finno-Ugrian (Other)	    6
rus;fin;swe	3	TRUE	Russian;Finnish;Swedish	Russian	    6
fin;est	2	TRUE	Finnish;Estonian	Finnish	    6
gem	1	FALSE	Germanic (Other)	Germanic (Other)	    5
fin;und	2	TRUE	Finnish;Undetermined	Finnish	    5
eng;fin	2	TRUE	English;Finnish	English	    5
ger;swe	2	TRUE	German;Swedish	German	    5
lat;heb;grc	3	TRUE	Latin;Hebrew;Greek, Ancient (to 1453)	Latin	    5
fin;eng;fre	3	TRUE	Finnish;English;French	Finnish	    4
lav	1	FALSE	Latvian	Latvian	    4
lit	1	FALSE	Lithuanian	Lithuanian	    4
swe;lat;grc	3	TRUE	Swedish;Latin;Greek, Ancient (to 1453)	Swedish	    4
swe;fin;lat	3	TRUE	Swedish;Finnish;Latin	Swedish	    4
swe;fin;ger	3	TRUE	Swedish;Finnish;German	Swedish	    3
swe;dan;nor	3	TRUE	Swedish;Danish;Norwegian	Swedish	    3
krl	1	FALSE	Karelian	Karelian	    3
fin;gre	2	TRUE	Finnish;Greek, Modern (1453-)	Finnish	    3
ger;rus	2	TRUE	German;Russian	German	    3
fin;hun	2	TRUE	Finnish;Hungarian	Finnish	    3
fin;swe;eng;rus	4	TRUE	Finnish;Swedish;English;Russian	Finnish	    3
fin;nor	2	TRUE	Finnish;Norwegian	Finnish	    3
sme	1	FALSE	Northern Sami	Northern Sami	    3
grc;lat;swe	3	TRUE	Greek, Ancient (to 1453);Latin;Swedish	Greek, Ancient (to 1453)	    3
lat;grc;ger	3	TRUE	Latin;Greek, Ancient (to 1453);German	Latin	    3
swe;ger;fre	3	TRUE	Swedish;German;French	Swedish	    3
swe;ger;lat	3	TRUE	Swedish;German;Latin	Swedish	    3
swe;lat;fin	3	TRUE	Swedish;Latin;Finnish	Swedish	    3
swe;lat;ger	3	TRUE	Swedish;Latin;German	Swedish	    3
lat;ita	2	TRUE	Latin;Italian	Latin	    3
lat;grc;fin	3	TRUE	Latin;Greek, Ancient (to 1453);Finnish	Latin	    3
lat;ara;swe	3	TRUE	Latin;Arabic;Swedish	Latin	    3
lat;ger;fre	3	TRUE	Latin;German;French	Latin	    3
lat;swe;heb	3	TRUE	Latin;Swedish;Hebrew	Latin	    3
esp	1	FALSE	Esperanto	Esperanto	    2
fin;ger;rus	3	TRUE	Finnish;German;Russian	Finnish	    2
rus;krl	2	TRUE	Russian;Karelian	Russian	    2
ger;fiu	2	TRUE	German;Finno-Ugrian (Other)	German	    2
nor;ger	2	TRUE	Norwegian;German	Norwegian	    2
est;fin	2	TRUE	Estonian;Finnish	Estonian	    2
swe;fin;eng;ger	4	TRUE	Swedish;Finnish;English;German	Swedish	    2
swe;fin;eng	3	TRUE	Swedish;Finnish;English	Swedish	    2
eng;swe	2	TRUE	English;Swedish	English	    2
rus;chu	2	TRUE	Russian;Church Slavic	Russian	    2
swe;dan	2	TRUE	Swedish;Danish	Swedish	    2
fre;swe	2	TRUE	French;Swedish	French	    2
grc;swe	2	TRUE	Greek, Ancient (to 1453);Swedish	Greek, Ancient (to 1453)	    2
krl;rus	2	TRUE	Karelian;Russian	Karelian	    2
fin;dan	2	TRUE	Finnish;Danish	Finnish	    2
fin;swe;ger;lat	4	TRUE	Finnish;Swedish;German;Latin	Finnish	    2
ger;lat;est	3	TRUE	German;Latin;Estonian	German	    2
fin;fre;und	3	TRUE	Finnish;French;Undetermined	Finnish	    2
fin;swe;eng;fre;ger;rus	6	TRUE	Finnish;Swedish;English;French;German;Russian	Finnish	    2
fin;swe;eng;ger;fre	5	TRUE	Finnish;Swedish;English;German;French	Finnish	    2
swe;fre;ger	3	TRUE	Swedish;French;German	Swedish	    2
fin;swe;eng;ger;rus	5	TRUE	Finnish;Swedish;English;German;Russian	Finnish	    2
fin;eng;ger	3	TRUE	Finnish;English;German	Finnish	    2
fre;rus	2	TRUE	French;Russian	French	    2
eng;fre	2	TRUE	English;French	English	    2
fre;fin	2	TRUE	French;Finnish	French	    2
epo;fin	2	TRUE	Esperanto;Finnish	Esperanto	    2
dut;swe;eng;fre	4	TRUE	Dutch;Swedish;English;French	Dutch	    2
rus;lat	2	TRUE	Russian;Latin	Russian	    2
rus;ger	2	TRUE	Russian;German	Russian	    2
lat;grc;fre;swe	4	TRUE	Latin;Greek, Ancient (to 1453);French;Swedish	Latin	    2
lat;ita;grc;fre	4	TRUE	Latin;Italian;Greek, Ancient (to 1453);French	Latin	    2
lat;grc;fre	3	TRUE	Latin;Greek, Ancient (to 1453);French	Latin	    2
ger;swe;lat	3	TRUE	German;Swedish;Latin	German	    2
lat;ger;grc	3	TRUE	Latin;German;Greek, Ancient (to 1453)	Latin	    2
lat;grc;heb	3	TRUE	Latin;Greek, Ancient (to 1453);Hebrew	Latin	    2
lat;fin;swe	3	TRUE	Latin;Finnish;Swedish	Latin	    2
smi;swe	2	TRUE	Sami;Swedish	Sami	    2
lat;swe;ger;fin	4	TRUE	Latin;Swedish;German;Finnish	Latin	    2
swe;fre;lat	3	TRUE	Swedish;French;Latin	Swedish	    2
lat;grc;heb;swe	4	TRUE	Latin;Greek, Ancient (to 1453);Hebrew;Swedish	Latin	    2
swe;lat;fre	3	TRUE	Swedish;Latin;French	Swedish	    2
lat;swe;fre;fin	4	TRUE	Latin;Swedish;French;Finnish	Latin	    2
lat;grc;swe;fre	4	TRUE	Latin;Greek, Ancient (to 1453);Swedish;French	Latin	    2
lat;swe;eng	3	TRUE	Latin;Swedish;English	Latin	    2
swe;lat;lat	2	TRUE	Swedish;Latin	Swedish	    1
fin;ger;eng	3	TRUE	Finnish;German;English	Finnish	    1
smi;sme	2	TRUE	Sami;Northern Sami	Sami	    1
fre;eng	2	TRUE	French;English	French	    1
smi;fin	2	TRUE	Sami;Finnish	Sami	    1
rus;gr	1	FALSE	Russian	Russian	    1
ger;eng;rus	3	TRUE	German;English;Russian	German	    1
gem;lat	2	TRUE	Germanic (Other);Latin	Germanic (Other)	    1
swe;gem	2	TRUE	Swedish;Germanic (Other)	Swedish	    1
ger;fre;dan	3	TRUE	German;French;Danish	German	    1
f20091772;ger	1	FALSE	German	German	    1
swe;eng;fre	3	TRUE	Swedish;English;French	Swedish	    1
fiu;fre	2	TRUE	Finno-Ugrian (Other);French	Finno-Ugrian (Other)	    1
swe;vot	2	TRUE	Swedish;Votic	Swedish	    1
sws;e	0	FALSE	Undetermined	Undetermined	    1
fre;lit	2	TRUE	French;Lithuanian	French	    1
swe;fin;eng;rus	4	TRUE	Swedish;Finnish;English;Russian	Swedish	    1
ger;eng	2	TRUE	German;English	German	    1
yid	1	FALSE	Yiddish	Yiddish	    1
nor;swe;dan	3	TRUE	Norwegian;Swedish;Danish	Norwegian	    1
eng;ger;fre;swe	4	TRUE	English;German;French;Swedish	English	    1
fin;swe;rus;ger;eng	5	TRUE	Finnish;Swedish;Russian;German;English	Finnish	    1
lat;swe;rus	3	TRUE	Latin;Swedish;Russian	Latin	    1
swe;est	2	TRUE	Swedish;Estonian	Swedish	    1
swe;rus;fin	3	TRUE	Swedish;Russian;Finnish	Swedish	    1
swe;fin;ger;rus	4	TRUE	Swedish;Finnish;German;Russian	Swedish	    1
myv	1	FALSE	Erzya	Erzya	    1
rus;fin;mul	3	TRUE	Russian;Finnish;Multiple languages	Russian	    1
ukr	1	FALSE	Ukrainian	Ukrainian	    1
afa;fin	2	TRUE	Afroasiatic (Other);Finnish	Afroasiatic (Other)	    1
fin;afa	2	TRUE	Finnish;Afroasiatic (Other)	Finnish	    1
ger;eng;fre	3	TRUE	German;English;French	German	    1
swe;rus;fin;ger	4	TRUE	Swedish;Russian;Finnish;German	Swedish	    1
fin;fre;swe;rus;ger	5	TRUE	Finnish;French;Swedish;Russian;German	Finnish	    1
rus;fin;swe;ger	4	TRUE	Russian;Finnish;Swedish;German	Russian	    1
fin;heb	2	TRUE	Finnish;Hebrew	Finnish	    1
rus;swe;fin	3	TRUE	Russian;Swedish;Finnish	Russian	    1
fin;swe;ger;fre;rus	5	TRUE	Finnish;Swedish;German;French;Russian	Finnish	    1
fin;swe;eng;rus;fre;ger	6	TRUE	Finnish;Swedish;English;Russian;French;German	Finnish	    1
lat;rus;swe	3	TRUE	Latin;Russian;Swedish	Latin	    1
fin;smi;ger	3	TRUE	Finnish;Sami;German	Finnish	    1
swe;eng;ger;fre;rus;ita	6	TRUE	Swedish;English;German;French;Russian;Italian	Swedish	    1
fin;rus;swe	3	TRUE	Finnish;Russian;Swedish	Finnish	    1
fin;swe;ger;dan	4	TRUE	Finnish;Swedish;German;Danish	Finnish	    1
fin;swe;gre	3	TRUE	Finnish;Swedish;Greek, Modern (1453-)	Finnish	    1
fre;ger	2	TRUE	French;German	French	    1
fin;fin	1	FALSE	Finnish	Finnish	    1
fin;ger;und	3	TRUE	Finnish;German;Undetermined	Finnish	    1
swe;eng;fre;ger	4	TRUE	Swedish;English;French;German	Swedish	    1
eng;ger;fre	3	TRUE	English;German;French	English	    1
ukr;rus	2	TRUE	Ukrainian;Russian	Ukrainian	    1
dan;eng	2	TRUE	Danish;English	Danish	    1
cze	1	FALSE	Czech	Czech	    1
est;ger	2	TRUE	Estonian;German	Estonian	    1
tib	1	FALSE	Tibetan	Tibetan	    1
fin;fre;swe	3	TRUE	Finnish;French;Swedish	Finnish	    1
fin;swe;rus;eng;fre	5	TRUE	Finnish;Swedish;Russian;English;French	Finnish	    1
fin;fre;swe;rus	4	TRUE	Finnish;French;Swedish;Russian	Finnish	    1
fin;smi	2	TRUE	Finnish;Sami	Finnish	    1
epo;fin;swe	3	TRUE	Esperanto;Finnish;Swedish	Esperanto	    1
lat;rus	2	TRUE	Latin;Russian	Latin	    1
lat;swe;ger;fre	4	TRUE	Latin;Swedish;German;French	Latin	    1
lat;gre;swe	3	TRUE	Latin;Greek, Modern (1453-);Swedish	Latin	    1
lat;dut	2	TRUE	Latin;Dutch	Latin	    1
dut;lat	2	TRUE	Dutch;Latin	Dutch	    1
dan;lat	2	TRUE	Danish;Latin	Danish	    1
por	1	FALSE	Portuguese	Portuguese	    1
swe;lat;fre;grc	4	TRUE	Swedish;Latin;French;Greek, Ancient (to 1453)	Swedish	    1
lat;eng;fre;heb	4	TRUE	Latin;English;French;Hebrew	Latin	    1
lat;swe;eng;fre	4	TRUE	Latin;Swedish;English;French	Latin	    1
lat;fin;grc	3	TRUE	Latin;Finnish;Greek, Ancient (to 1453)	Latin	    1
lat;fre;swe;grc	4	TRUE	Latin;French;Swedish;Greek, Ancient (to 1453)	Latin	    1
lat;grc;swe;fin;ger;dut;ita	7	TRUE	Latin;Greek, Ancient (to 1453);Swedish;Finnish;German;Dutch;Italian	Latin	    1
lat;swe;ger;fre;fin;heb;grc	7	TRUE	Latin;Swedish;German;French;Finnish;Hebrew;Greek, Ancient (to 1453)	Latin	    1
swe;mul	2	TRUE	Swedish;Multiple languages	Swedish	    1
heb;grc;lat	3	TRUE	Hebrew;Greek, Ancient (to 1453);Latin	Hebrew	    1
lat;eng;fre;ita;dut;grc	6	TRUE	Latin;English;French;Italian;Dutch;Greek, Ancient (to 1453)	Latin	    1
lat;grc;eng;heb;swe	5	TRUE	Latin;Greek, Ancient (to 1453);English;Hebrew;Swedish	Latin	    1
heb	1	FALSE	Hebrew	Hebrew	    1
swe;smi	2	TRUE	Swedish;Sami	Swedish	    1
swe;smj	2	TRUE	Swedish;Lule Sami	Swedish	    1
lat;ita;grc	3	TRUE	Latin;Italian;Greek, Ancient (to 1453)	Latin	    1
fin;lat;ger	3	TRUE	Finnish;Latin;German	Finnish	    1
fre;swe;fin	3	TRUE	French;Swedish;Finnish	French	    1
lat;grc;syr	3	TRUE	Latin;Greek, Ancient (to 1453);Syriac, Modern	Latin	    1
swe;fre;lat;ger	4	TRUE	Swedish;French;Latin;German	Swedish	    1
swe;heb	2	TRUE	Swedish;Hebrew	Swedish	    1
lat;grc;swe;ger	4	TRUE	Latin;Greek, Ancient (to 1453);Swedish;German	Latin	    1
swe;grc	2	TRUE	Swedish;Greek, Ancient (to 1453)	Swedish	    1
ita;lat	2	TRUE	Italian;Latin	Italian	    1
lat;fin;ger	3	TRUE	Latin;Finnish;German	Latin	    1
lat;grc;eng;fre;heb	5	TRUE	Latin;Greek, Ancient (to 1453);English;French;Hebrew	Latin	    1
lat;heb;grc;swe	4	TRUE	Latin;Hebrew;Greek, Ancient (to 1453);Swedish	Latin	    1
fin;lat;swe;grc;ger;heb	6	TRUE	Finnish;Latin;Swedish;Greek, Ancient (to 1453);German;Hebrew	Finnish	    1
eng;swe;fin	3	TRUE	English;Swedish;Finnish	English	    1
fin;lat;swe	3	TRUE	Finnish;Latin;Swedish	Finnish	    1
smi;dan	2	TRUE	Sami;Danish	Sami	    1
lat;eng;swe;fre	4	TRUE	Latin;English;Swedish;French	Latin	    1
lat;fre;swe;ger	4	TRUE	Latin;French;Swedish;German	Latin	    1
lat;grc;ger;swe	4	TRUE	Latin;Greek, Ancient (to 1453);German;Swedish	Latin	    1
lat;eng;fre;swe;ita	5	TRUE	Latin;English;French;Swedish;Italian	Latin	    1
lat;fre;ger;swe	4	TRUE	Latin;French;German;Swedish	Latin	    1
lat;eng;swe	3	TRUE	Latin;English;Swedish	Latin	    1
lat;swe;eng;fin	4	TRUE	Latin;Swedish;English;Finnish	Latin	    1
lat;ara	2	TRUE	Latin;Arabic	Latin	    1
lat;ger;fre;swe	4	TRUE	Latin;German;French;Swedish	Latin	    1
lat;fre;grc	3	TRUE	Latin;French;Greek, Ancient (to 1453)	Latin	    1
lat;swe;fin;eng	4	TRUE	Latin;Swedish;Finnish;English	Latin	    1
lat;eng;fre;ger;swe	5	TRUE	Latin;English;French;German;Swedish	Latin	    1
lat;fin;fre;swe	4	TRUE	Latin;Finnish;French;Swedish	Latin	    1
lat;ger;swe;fre	4	TRUE	Latin;German;Swedish;French	Latin	    1
lat;ger;heb;fre;swe	5	TRUE	Latin;German;Hebrew;French;Swedish	Latin	    1
lat;grc;heb;swe;fin	5	TRUE	Latin;Greek, Ancient (to 1453);Hebrew;Swedish;Finnish	Latin	    1
lat;heb;grc;swe;fin	5	TRUE	Latin;Hebrew;Greek, Ancient (to 1453);Swedish;Finnish	Latin	    1
lat;heb;eng	3	TRUE	Latin;Hebrew;English	Latin	    1
lat;swe;heb;grc	4	TRUE	Latin;Swedish;Hebrew;Greek, Ancient (to 1453)	Latin	    1
